p_raw,p_cal,attack
0.996792,0.887152,A11
0.999978,0.996062,A14
0.991668,0.750693,A16
1.0,0.996062,A09
0.993456,0.793415,A13
0.025989,0.000675,none
1.0,0.996062,A09
0.000224,6e-06,none
1.0,0.996062,A12
0.000777,2e-05,A18
0.999031,0.963083,A13
0.999953,0.996062,A16
0.998861,0.956865,A15
1.0,0.996062,A08
5e-06,3e-06,A17
0.532789,0.028041,none
0.998686,0.950551,A08
1.5e-05,3e-06,none
0.999941,0.996062,A16
0.999985,0.996062,A10
0.999473,0.979598,A13
0.255329,0.0086,A17
0.000287,7e-06,A18
0.995576,0.850603,A14
0.99856,0.946064,A13
0.999916,0.996062,A15
1e-06,3e-06,A17
0.997978,0.925853,A13
0.999657,0.986616,A16
0.000129,3e-06,A17
0.99954,0.982142,A13
0.833713,0.112563,A18
0.999997,0.996062,A11
0.989945,0.713521,A13
0.999834,0.993473,A10
0.999982,0.996062,A14
0.999345,0.974733,A07
0.999928,0.996062,A10
0.000901,2.3e-05,A17
3.3e-05,3e-06,none
1.0,0.996062,A09
1e-06,3e-06,A17
0.999868,0.99481,A10
0.998954,0.960258,A10
1.0,0.996062,A16
6e-06,3e-06,none
0.999992,0.996062,A12
1.0,0.996062,A12
5.8e-05,3e-06,none
1.0,0.996062,A09
0.996521,0.878726,A13
0.072157,0.001964,none
0.001332,3.4e-05,A17
0.997819,0.920479,A07
0.999999,0.996062,A16
1.0,0.996062,A09
0.996795,0.887223,A10
0.995259,0.841546,A08
1.0,0.996062,A14
1.0,0.996062,A09
0.997585,0.912665,A07
0.999701,0.988324,A15
0.999987,0.996062,A12
0.999788,0.991701,A13
0.99918,0.968567,A13
0.999972,0.996062,A14
0.00326,8.3e-05,A19
0.999998,0.996062,A08
1.0,0.996062,A12
1.0,0.996062,A09
0.002247,5.7e-05,none
0.016158,0.000415,A16
0.999711,0.98872,A15
0.999904,0.996062,A07
0.050094,0.001332,A18
0.037981,0.000998,A18
0.999993,0.996062,A11
0.999868,0.99481,A08
0.587618,0.034795,none
0.998112,0.930443,A11
0.887486,0.166354,A19
0.991664,0.750599,A07
0.999297,0.972937,A10
0.999982,0.996062,A14
0.999963,0.996062,A16
0.995004,0.834393,A10
4.2e-05,3e-06,none
2.4e-05,3e-06,none
0.984039,0.609329,A08
0.357496,0.013881,A18
0.999969,0.996062,A08
0.538846,0.028712,A18
0.000352,9e-06,none
0.999786,0.991595,A10
1.0,0.996062,A12
0.999968,0.996062,A07
0.000113,3e-06,none
0.999983,0.996062,A15
1.0,0.996062,A12
0.999996,0.996062,A08
0.000444,1.1e-05,A19
1.0,0.996062,A09
0.999628,0.985515,A15
0.99944,0.978324,A14
0.999123,0.966469,A16
1.1e-05,3e-06,A17
0.998273,0.936012,A13
1.0,0.996062,A12
1.0,0.996062,A09
1.0,0.996062,A09
1.0,0.996062,A12
1.0,0.996062,A12
0.998994,0.961703,A15
0.002879,7.3e-05,none
0.866434,0.140975,A08
1.0,0.996062,A12
0.985874,0.638419,A16
0.989102,0.696604,A15
0.99995,0.996062,A11
0.005392,0.000137,A18
3e-06,3e-06,none
0.999951,0.996062,A11
0.999924,0.996062,A12
0.000352,9e-06,A17
0.971991,0.467498,A15
2.1e-05,3e-06,A17
1e-06,3e-06,none
0.99985,0.994116,A07
0.000247,6e-06,A17
0.999999,0.996062,A09
0.999369,0.975644,A07
0.988942,0.693486,A10
0.999991,0.996062,A11
0.998917,0.958914,A12
0.521496,0.026832,A19
0.999803,0.992281,A14
1.0,0.996062,A14
1.2e-05,3e-06,A17
0.999709,0.988618,A07
0.999894,0.995847,A13
3.4e-05,3e-06,none
0.999996,0.996062,A15
0.999784,0.99153,A11
0.999978,0.996062,A11
0.989719,0.708916,A10
1.8e-05,3e-06,A17
0.915746,0.215667,A19
0.999992,0.996062,A12
0.994059,0.808918,A13
0.994541,0.821706,A10
9e-06,3e-06,none
0.999648,0.986285,A13
0.088613,0.002454,none
0.999947,0.996062,A13
1.0,0.996062,A12
0.995245,0.841142,A11
0.883346,0.160772,A19
0.001862,4.7e-05,A18
1.5e-05,3e-06,none
0.000491,1.2e-05,none
1.0,0.996062,A16
0.095383,0.00266,A17
0.999965,0.996062,A08
0.999528,0.981664,A07
0.0011,2.8e-05,none
0.958174,0.366911,A18
0.000462,1.2e-05,none
0.997547,0.91141,A19
0.999915,0.996062,A15
0.999987,0.996062,A10
1.0,0.996062,A12
0.999908,0.996062,A14
1.0,0.996062,A12
0.987644,0.669109,A07
0.965357,0.413479,A19
1.0,0.996062,A09
0.999645,0.986138,A08
0.006486,0.000165,A18
8.1e-05,3e-06,none
0.241995,0.008012,A18
0.999997,0.996062,A08
0.998649,0.949238,A07
0.998918,0.958932,A15
0.000102,3e-06,A17
0.999989,0.996062,A08
9.3e-05,3e-06,A17
0.999989,0.996062,A08
0.000616,1.6e-05,none
1e-06,3e-06,A17
0.999884,0.995417,A07
0.999997,0.996062,A09
0.656988,0.046217,A18
0.999634,0.985735,A15
0.384728,0.015573,A19
0.999555,0.982709,A13
1.9e-05,3e-06,none
8e-06,3e-06,none
0.998669,0.949952,A16
0.892631,0.173776,A19
0.996731,0.885251,A13
0.999999,0.996062,A11
0.999957,0.996062,A15
0.876423,0.152127,A18
0.999108,0.965896,A16
0.999995,0.996062,A09
0.997934,0.924364,A07
