path,speaker,attack,label,split
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1138215.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1271820.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1272637.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1276960.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1341447.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1363611.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1596451.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1608170.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1684951.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1699801.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1703395.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1736342.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1779188.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1786825.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1787246.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_1905558.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_2205687.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_2220901.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_2361751.flac,LA_0079,none,bonafide,train
C:\dhwani_data\LA\LA\ASVspoof2019_LA_train/flac\LA_T_2373806.flac,LA_0079,none,bonafide,train
